date,country,product,hs_code,import_volume_tons,import_price_per_ton,treated,post_treatment,tariff_rate,year,month,year_month
2016-01-01,China,Steel-HotRolled,7208,1135.007122951685,596.3633135437831,True,False,0.0,2016,1,2016-01
2016-02-01,China,Steel-HotRolled,7208,1205.4878719011165,679.1054331075852,True,False,0.0,2016,2,2016-02
2016-03-01,China,Steel-HotRolled,7208,1097.8769937914997,597.7614260664392,True,False,0.0,2016,3,2016-03
2016-04-01,China,Steel-HotRolled,7208,1366.9485643196904,648.8368669993396,True,False,0.0,2016,4,2016-04
2016-05-01,China,Steel-HotRolled,7208,1032.0788421097573,641.0428820921263,True,False,0.0,2016,5,2016-05
2016-06-01,China,Steel-HotRolled,7208,990.4873460781307,595.6449718286277,True,False,0.0,2016,6,2016-06
2016-07-01,China,Steel-HotRolled,7208,1052.7943407349053,529.1625482564257,True,False,0.0,2016,7,2016-07
2016-08-01,China,Steel-HotRolled,7208,727.7315815143256,597.0101985964333,True,False,0.0,2016,8,2016-08
2016-09-01,China,Steel-HotRolled,7208,829.0753319498365,642.0838719645732,True,False,0.0,2016,9,2016-09
2016-10-01,China,Steel-HotRolled,7208,868.5335942555301,562.209422335906,True,False,0.0,2016,10,2016-10
2016-11-01,China,Steel-HotRolled,7208,1274.347315338233,622.1627375766462,True,False,0.0,2016,11,2016-11
2016-12-01,China,Steel-HotRolled,7208,1130.1292307031886,567.6120870617541,True,False,0.0,2016,12,2016-12
2017-01-01,China,Steel-HotRolled,7208,1104.8425913212227,644.3242843060735,True,False,0.0,2017,1,2017-01
2017-02-01,China,Steel-HotRolled,7208,1066.0778594180806,660.0335048805922,True,False,0.0,2017,2,2017-02
2017-03-01,China,Steel-HotRolled,7208,1174.9041965121792,630.9987000099227,True,False,0.0,2017,3,2017-03
2017-04-01,China,Steel-HotRolled,7208,1170.2029550045854,736.909352856429,True,False,0.0,2017,4,2017-04
2017-05-01,China,Steel-HotRolled,7208,1226.4754162893098,600.2298754101167,True,False,0.0,2017,5,2017-05
2017-06-01,China,Steel-HotRolled,7208,1303.3817368154782,595.3995048013909,True,False,0.0,2017,6,2017-06
2017-07-01,China,Steel-HotRolled,7208,1161.8295392507134,562.9358340537708,True,False,0.0,2017,7,2017-07
2017-08-01,China,Steel-HotRolled,7208,896.8490442111028,669.449339321718,True,False,0.0,2017,8,2017-08
2017-09-01,China,Steel-HotRolled,7208,1199.7699869993116,671.2256774971186,True,False,0.0,2017,9,2017-09
2017-10-01,China,Steel-HotRolled,7208,1096.9976583800624,651.5470226117143,True,False,0.0,2017,10,2017-10
2017-11-01,China,Steel-HotRolled,7208,946.7217014448859,634.447477997054,True,False,0.0,2017,11,2017-11
2017-12-01,China,Steel-HotRolled,7208,1170.904184356032,722.741866858508,True,False,0.0,2017,12,2017-12
2018-01-01,China,Steel-HotRolled,7208,1364.0427434352691,590.3740725425888,True,False,0.0,2018,1,2018-01
2018-02-01,China,Steel-HotRolled,7208,1417.7317962860584,659.5160505400167,True,False,0.0,2018,2,2018-02
2018-03-01,China,Steel-HotRolled,7208,1295.4616999541063,710.3604618643617,True,False,0.0,2018,3,2018-03
2018-04-01,China,Steel-HotRolled,7208,1058.7032419692578,865.5014457175776,True,True,0.25,2018,4,2018-04
2018-05-01,China,Steel-HotRolled,7208,754.5423715166042,809.5578059591417,True,True,0.25,2018,5,2018-05
2018-06-01,China,Steel-HotRolled,7208,894.6895147105346,874.8261661018732,True,True,0.25,2018,6,2018-06
2018-07-01,China,Steel-HotRolled,7208,737.0488643232065,822.6883691201368,True,True,0.25,2018,7,2018-07
2018-08-01,China,Steel-HotRolled,7208,617.744774254391,777.7820820441277,True,True,0.25,2018,8,2018-08
2018-09-01,China,Steel-HotRolled,7208,899.9288733591297,903.8995213713995,True,True,0.25,2018,9,2018-09
2018-10-01,China,Steel-HotRolled,7208,784.7676690933254,890.5695790988171,True,True,0.25,2018,10,2018-10
2018-11-01,China,Steel-HotRolled,7208,887.8704037571451,815.0342517789541,True,True,0.25,2018,11,2018-11
2018-12-01,China,Steel-HotRolled,7208,938.209340826262,923.4257551903665,True,True,0.25,2018,12,2018-12
2019-01-01,China,Steel-HotRolled,7208,929.6510941335073,928.3028954790723,True,True,0.25,2019,1,2019-01
2019-02-01,China,Steel-HotRolled,7208,581.7207131060024,896.2513202100107,True,True,0.25,2019,2,2019-02
2019-03-01,China,Steel-HotRolled,7208,1006.907060235726,846.0476471776383,True,True,0.25,2019,3,2019-03
2019-04-01,China,Steel-HotRolled,7208,1002.5724282247093,768.5966920991572,True,True,0.25,2019,4,2019-04
2019-05-01,China,Steel-HotRolled,7208,929.3742168243733,884.7414034325639,True,True,0.25,2019,5,2019-05
2019-06-01,China,Steel-HotRolled,7208,1144.6841067112273,846.3230295228649,True,True,0.25,2019,6,2019-06
2019-07-01,China,Steel-HotRolled,7208,761.7509595660218,850.7156619079421,True,True,0.25,2019,7,2019-07
2019-08-01,China,Steel-HotRolled,7208,992.2503398610877,894.1800532636648,True,True,0.25,2019,8,2019-08
2019-09-01,China,Steel-HotRolled,7208,768.7859694349441,906.6368367894411,True,True,0.25,2019,9,2019-09
2019-10-01,China,Steel-HotRolled,7208,881.3758215830629,932.0949595455787,True,True,0.25,2019,10,2019-10
2019-11-01,China,Steel-HotRolled,7208,802.4170359183971,873.4722169633072,True,True,0.25,2019,11,2019-11
2019-12-01,China,Steel-HotRolled,7208,903.1837770301763,822.5512824896582,True,True,0.25,2019,12,2019-12
2020-01-01,China,Steel-HotRolled,7208,1061.3430415596865,908.9306530646347,True,True,0.25,2020,1,2020-01
2020-02-01,China,Steel-HotRolled,7208,1060.204495365352,888.7398175979929,True,True,0.25,2020,2,2020-02
2020-03-01,China,Steel-HotRolled,7208,867.344388692438,883.4090245072625,True,True,0.25,2020,3,2020-03
2020-04-01,China,Steel-HotRolled,7208,1022.156132414887,868.6906910773622,True,True,0.25,2020,4,2020-04
2020-05-01,China,Steel-HotRolled,7208,1020.0321432500988,930.1944411270979,True,True,0.25,2020,5,2020-05
2020-06-01,China,Steel-HotRolled,7208,1283.9278851815795,922.7797350159283,True,True,0.25,2020,6,2020-06
2020-07-01,China,Steel-HotRolled,7208,995.7575586084147,914.426596043224,True,True,0.25,2020,7,2020-07
2020-08-01,China,Steel-HotRolled,7208,638.3693417614018,920.3273339784375,True,True,0.25,2020,8,2020-08
2020-09-01,China,Steel-HotRolled,7208,927.484531491154,1043.4356213992937,True,True,0.25,2020,9,2020-09
2020-10-01,China,Steel-HotRolled,7208,909.2050463141697,943.2742724320134,True,True,0.25,2020,10,2020-10
2020-11-01,China,Steel-HotRolled,7208,976.6182345442135,876.3034541942625,True,True,0.25,2020,11,2020-11
2020-12-01,China,Steel-HotRolled,7208,1211.423422177253,972.0927855689652,True,True,0.25,2020,12,2020-12
2016-01-01,China,Steel-ColdRolled,7209,1179.1547920564572,652.5743025314945,True,False,0.0,2016,1,2016-01
2016-02-01,China,Steel-ColdRolled,7209,1318.7537378264276,628.4963404836323,True,False,0.0,2016,2,2016-02
2016-03-01,China,Steel-ColdRolled,7209,1221.0285640700406,833.1655150453587,True,False,0.0,2016,3,2016-03
2016-04-01,China,Steel-ColdRolled,7209,981.4861932239785,682.2873271422447,True,False,0.0,2016,4,2016-04
2016-05-01,China,Steel-ColdRolled,7209,1117.4477047631462,689.3053633694927,True,False,0.0,2016,5,2016-05
2016-06-01,China,Steel-ColdRolled,7209,827.4004853400801,724.8395265891376,True,False,0.0,2016,6,2016-06
2016-07-01,China,Steel-ColdRolled,7209,857.1544429410844,751.0211761155701,True,False,0.0,2016,7,2016-07
2016-08-01,China,Steel-ColdRolled,7209,848.5556212562101,814.7963266809822,True,False,0.0,2016,8,2016-08
2016-09-01,China,Steel-ColdRolled,7209,863.5120061495644,713.4645550924822,True,False,0.0,2016,9,2016-09
2016-10-01,China,Steel-ColdRolled,7209,1126.7647881891623,666.0715982796985,True,False,0.0,2016,10,2016-10
2016-11-01,China,Steel-ColdRolled,7209,1088.6189901906193,811.699994239816,True,False,0.0,2016,11,2016-11
2016-12-01,China,Steel-ColdRolled,7209,878.8775148158159,752.339496077809,True,False,0.0,2016,12,2016-12
2017-01-01,China,Steel-ColdRolled,7209,1225.4824191372636,789.2820808195294,True,False,0.0,2017,1,2017-01
2017-02-01,China,Steel-ColdRolled,7209,1053.1842893997139,675.0544296672805,True,False,0.0,2017,2,2017-02
2017-03-01,China,Steel-ColdRolled,7209,1343.2912348425345,769.1311417010584,True,False,0.0,2017,3,2017-03
